,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
196,6,2048,256,192,0.25,3,0 days 00:00:00.048395,0 days 00:01:21.733571,82.2,85.2,55
197,6,2048,256,192,0.25,5,0 days 00:00:00.048395,0 days 00:01:45.964144,93.0,93.2,80
198,6,2048,512,128,0.75,2,0 days 00:00:00.054747,0 days 00:00:10.950243,75.2,75.8,18
199,6,2048,512,128,0.75,3,0 days 00:00:00.054747,0 days 00:01:46.809318,90.2,91.6,75
200,6,2048,512,128,0.75,5,0 days 00:00:00.054747,0 days 00:00:50.317559,85.8,87.6,50
201,6,2048,512,256,0.5,2,0 days 00:00:00.044146,0 days 00:01:03.370495,82.6,84.0,54
202,6,2048,512,256,0.5,3,0 days 00:00:00.044146,0 days 00:01:25.656655,86.0,87.2,67
203,6,2048,512,256,0.5,5,0 days 00:00:00.044146,0 days 00:01:50.926183,95.0,95.2,77
204,6,2048,512,384,0.25,2,0 days 00:00:00.042835,0 days 00:00:51.248496,81.2,83.8,54
205,6,2048,512,384,0.25,3,0 days 00:00:00.042835,0 days 00:01:56.200679,92.6,93.4,79
206,6,2048,512,384,0.25,5,0 days 00:00:00.042835,0 days 00:01:42.330170,95.6,96.2,78
207,6,2048,1024,256,0.75,2,0 days 00:00:00.044714,0 days 00:00:37.906208,68.0,76.2,31
208,6,2048,1024,256,0.75,3,0 days 00:00:00.044714,0 days 00:01:03.740915,85.0,85.8,52
209,6,2048,1024,256,0.75,5,0 days 00:00:00.044714,0 days 00:01:56.501130,96.2,96.6,80
210,6,2048,1024,512,0.5,2,0 days 00:00:00.040584,0 days 00:01:21.183965,88.6,89.0,67
211,6,2048,1024,512,0.5,3,0 days 00:00:00.040584,0 days 00:02:13.239085,96.4,96.6,80
212,6,2048,1024,512,0.5,5,0 days 00:00:00.040584,0 days 00:01:47.612697,95.8,96.0,75
213,6,2048,1024,768,0.25,2,0 days 00:00:00.039260,0 days 00:01:35.964782,90.0,90.6,67
214,6,2048,1024,768,0.25,3,0 days 00:00:00.039260,0 days 00:02:03.601104,95.0,95.2,80
215,6,2048,1024,768,0.25,5,0 days 00:00:00.039260,0 days 00:01:36.507197,94.8,95.2,69
216,6,2048,2048,512,0.75,2,0 days 00:00:00.040419,0 days 00:01:12.491610,87.6,87.4,61
217,6,2048,2048,512,0.75,3,0 days 00:00:00.040419,0 days 00:02:22.652207,96.4,96.4,80
218,6,2048,2048,512,0.75,5,0 days 00:00:00.040419,0 days 00:01:41.651471,96.2,96.2,73
219,6,2048,2048,1024,0.5,2,0 days 00:00:00.037321,0 days 00:01:02.844435,87.8,88.4,57
220,6,2048,2048,1024,0.5,3,0 days 00:00:00.037321,0 days 00:02:19.795749,96.2,96.6,78
221,6,2048,2048,1024,0.5,5,0 days 00:00:00.037321,0 days 00:01:36.616036,95.2,95.6,70
222,6,2048,2048,1536,0.25,2,0 days 00:00:00.036919,0 days 00:02:00.123992,92.0,92.0,80
223,6,2048,2048,1536,0.25,3,0 days 00:00:00.036919,0 days 00:01:40.352181,93.6,93.8,64
224,6,2048,2048,1536,0.25,5,0 days 00:00:00.036919,0 days 00:01:21.182808,95.0,95.2,62
225,6,4096,256,64,0.75,2,0 days 00:00:00.103934,0 days 00:01:08.160552,73.4,80.2,53
226,6,4096,256,64,0.75,3,0 days 00:00:00.103934,0 days 00:01:45.041927,89.0,89.0,79
227,6,4096,256,64,0.75,5,0 days 00:00:00.103934,0 days 00:01:38.905614,87.6,89.6,64
228,6,4096,256,128,0.5,2,0 days 00:00:00.070397,0 days 00:00:58.296646,71.8,79.4,51
229,6,4096,256,128,0.5,3,0 days 00:00:00.070397,0 days 00:01:26.713459,90.0,90.8,53
230,6,4096,256,128,0.5,5,0 days 00:00:00.070397,0 days 00:01:34.005207,93.0,93.6,69
231,6,4096,256,192,0.25,2,0 days 00:00:00.060080,0 days 00:00:53.231712,75.2,81.2,43
232,6,4096,256,192,0.25,3,0 days 00:00:00.060080,0 days 00:01:50.234664,90.0,90.4,67
233,6,4096,256,192,0.25,5,0 days 00:00:00.060080,0 days 00:01:48.427380,90.6,91.6,77
234,6,4096,512,128,0.75,2,0 days 00:00:00.071120,0 days 00:00:48.188046,76.0,80.8,43
235,6,4096,512,128,0.75,3,0 days 00:00:00.071120,0 days 00:01:52.255442,90.0,90.6,67
236,6,4096,512,128,0.75,5,0 days 00:00:00.071120,0 days 00:01:30.678117,91.0,91.6,63
237,6,4096,512,256,0.5,2,0 days 00:00:00.053680,0 days 00:00:32.470974,83.0,83.2,31
238,6,4096,512,256,0.5,3,0 days 00:00:00.053680,0 days 00:01:13.941502,85.0,86.8,54
239,6,4096,512,256,0.5,5,0 days 00:00:00.053680,0 days 00:02:10.560358,96.6,96.8,80
240,6,4096,512,384,0.25,2,0 days 00:00:00.048348,0 days 00:01:18.758668,85.6,85.8,61
241,6,4096,512,384,0.25,3,0 days 00:00:00.048348,0 days 00:01:48.148290,91.4,91.8,66
242,6,4096,512,384,0.25,5,0 days 00:00:00.048348,0 days 00:02:10.036877,95.8,96.2,79
243,6,4096,1024,256,0.75,2,0 days 00:00:00.053779,0 days 00:00:59.006932,83.2,83.8,44
244,6,4096,1024,256,0.75,3,0 days 00:00:00.053779,0 days 00:02:04.153325,91.2,91.4,80
245,6,4096,1024,256,0.75,5,0 days 00:00:00.053779,0 days 00:01:51.081720,93.8,94.4,77
246,6,4096,1024,512,0.5,2,0 days 00:00:00.044375,0 days 00:01:25.727004,82.4,83.8,55
247,6,4096,1024,512,0.5,3,0 days 00:00:00.044375,0 days 00:02:01.389817,92.6,93.2,67
248,6,4096,1024,512,0.5,5,0 days 00:00:00.044375,0 days 00:01:57.079292,95.6,95.8,80
249,6,4096,1024,768,0.25,2,0 days 00:00:00.042222,0 days 00:00:55.921311,86.6,86.8,42
250,6,4096,1024,768,0.25,3,0 days 00:00:00.042222,0 days 00:02:21.883373,95.6,96.0,80
251,6,4096,1024,768,0.25,5,0 days 00:00:00.042222,0 days 00:01:46.331956,95.0,95.6,71
252,6,4096,2048,512,0.75,2,0 days 00:00:00.046208,0 days 00:01:00.683561,84.8,85.6,43
253,6,4096,2048,512,0.75,3,0 days 00:00:00.046208,0 days 00:02:00.732522,93.4,93.8,67
