,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
241,6,4096,512,384,0.25,3,0 days 00:00:00.071182,0 days 00:01:05.504973,89.4,88.6,48
242,6,4096,512,384,0.25,5,0 days 00:00:00.071182,0 days 00:01:23.817398,93.2,93.2,63
243,6,4096,1024,256,0.75,2,0 days 00:00:00.077602,0 days 00:00:58.419431,88.6,88.4,46
244,6,4096,1024,256,0.75,3,0 days 00:00:00.077602,0 days 00:01:24.143447,91.2,90.8,62
245,6,4096,1024,256,0.75,5,0 days 00:00:00.077602,0 days 00:01:42.734585,95.4,95.4,76
246,6,4096,1024,512,0.5,2,0 days 00:00:00.072214,0 days 00:00:52.817206,88.6,87.8,39
247,6,4096,1024,512,0.5,3,0 days 00:00:00.072214,0 days 00:01:38.441964,91.2,91.2,69
248,6,4096,1024,512,0.5,5,0 days 00:00:00.072214,0 days 00:01:38.666674,94.4,94.4,68
249,6,4096,1024,768,0.25,2,0 days 00:00:00.067013,0 days 00:00:59.414761,89.4,88.8,46
250,6,4096,1024,768,0.25,3,0 days 00:00:00.067013,0 days 00:01:51.104622,93.6,93.4,77
251,6,4096,1024,768,0.25,5,0 days 00:00:00.067013,0 days 00:01:49.421848,94.0,93.8,80
252,6,4096,2048,512,0.75,2,0 days 00:00:00.071004,0 days 00:00:46.204609,88.2,87.2,33
253,6,4096,2048,512,0.75,3,0 days 00:00:00.071004,0 days 00:01:44.261891,91.2,90.8,76
